first name,Email ID,Quantity,Events,Attendee Status,College Unknownme,How did you come to know about this event?,how do you know about this event ?,"Specify in ""Others"" (how did you come to know about this event)",Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family Income,dummy family income,family income in lakh,Expected salary (Lakh),Leadership- skills
ahmad,ahmad@xyz.com,1,Hello ML and DL,Attending,st.francis institute of technology,Youtube | Whatsapp,Youtube ,,Students,2024,Amreli,8.5,5,0-2 Lakh,0-2 ,2,5,no
georgiana,georgiana@xyz.com,1,Hello ML and DL,Attending,late g. n. sapkal college of engineering,Whatsapp,Whatsapp,,Students,2025,Godhra,6.6,3,0-2 Lakh,0-2 ,2,19,yes
mark,mark@xyz.com,1,Hello ML and DL,Attending,"symbiosis institute of technology, pune",Whatsapp | Others,Whatsapp ,,Students,2023,Jamnagar,9.5,4,0-2 Lakh,0-2 ,2,18,no 
adrianne,adrianne@xyz.com,1,Hello ML and DL,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Whatsapp,,Students,2024,Nadiad,9.1,3,0-2 Lakh,0-2 ,2,9,no
eric,eric@xyz.com,1,Hello ML and DL,Attending,dkte society's textile and engineering institute ichalkaranji,Cloud Counselage Website,Cloud Counselage Website,,Students,2024,Navsari,7.6,5,0-2 Lakh,0-2 ,2,9,no
lydia,lydia@xyz.com,1,Hello ML and DL,Attending,"priyadarshini college of engineering, Unknowngpur ",Whatsapp,Whatsapp,,Students,2023,Surat,8.5,4,0-2 Lakh,0-2 ,2,11,no
ronald,ronald@xyz.com,1,Hello ML and DL,Attending,don bosco college of engineering fatorda goa,Cloud Counselage Website,Cloud Counselage Website,,Students,2023,Gurugram,8.5,3,0-2 Lakh,0-2 ,2,23,yes
jo,jo@xyz.com,1,Hello ML and DL,Attending,pillai college of engineering new panvel,Email,Email,,Students,2023,Hisar,9.1,5,0-2 Lakh,0-2 ,2,8,yes
alexander,alexander@xyz.com,1,Hello ML and DL,Attending,"kle society's college of bca, rls institute, belagavi",Others,Others,,Students,2025,Ghazipur,6.6,7,0-2 Lakh,0-2 ,2,9,yes
ramona,ramona@xyz.com,1,Hello ML and DL,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp,Whatsapp,,Students,2024,Gorakhpur,7.7,7,0-2 Lakh,0-2 ,2,17,no
stephen,stephen@xyz.com,1,Hello ML and DL,Attending,"vishwakarma institute of technology, pune",Whatsapp,Whatsapp,,Students,2023,Hamirpur,8.1,5,0-2 Lakh,0-2 ,2,19,no
tiffany,tiffany@xyz.com,1,Hello ML and DL,Attending,"priyadarshini college of engineering, Unknowngpur ",Facebook,Facebook,,Students,2024,Budaun,7.1,7,0-2 Lakh,0-2 ,2,11,yes
donald,donald@xyz.com,1,Hello ML and DL,Attending,st.francis institute of technology,Whatsapp,Whatsapp,,Students,2023,Jhansi,8.3,3,0-2 Lakh,0-2 ,2,12,yes
emma,emma@xyz.com,1,Hello ML and DL,Attending,late g. n. sapkal college of engineering,LinkedIn,LinkedIn,,Students,2025,Lucknow,8,4,0-2 Lakh,0-2 ,2,10,no 
karen,karen@xyz.com,1,Hello ML and DL,Attending,"symbiosis institute of technology, pune",Others,Others,,Students,2024,Mathura,6.5,7,0-2 Lakh,0-2 ,2,10,yes
clarence,clarence@xyz.com,1,Hello ML and DL,Attending,"mit academy of engineering ,alandi",Instagram,Instagram,,Students,2023,Mainpuri,9.4,5,0-2 Lakh,0-2 ,2,15,yes
margaret,margaret@xyz.com,1,Hello ML and DL,Attending,a. c. patil college of engineering,Whatsapp,Whatsapp,,Students,2024,Varanasi,6.8,5,0-2 Lakh,0-2 ,2,12,no
lee,lee@xyz.com,1,Hello ML and DL,Attending,wilson college ,LinkedIn | Whatsapp,LinkedIn ,,Students,2023,Almora,6.7,7,0-2 Lakh,0-2 ,2,20,no
timothy,timothy@xyz.com,1,Product Marketing,Attending,"ld college of engineering, ahmedabad, gujarat ",Cloud Counselage Website,Cloud Counselage Website,,Students,2026,Alipore,7.9,4,0-2 Lakh,0-2 ,2,21,no
arlene,arlene@xyz.com,1,Product Marketing,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,Whatsapp,,Students,2024,Haora,9.3,3,0-2 Lakh,0-2 ,2,9,yes
carlos,carlos@xyz.com,1,Product Marketing,Attending,"ld college of engineering, ahmedabad, gujarat ",Cloud Counselage Website,Cloud Counselage Website,,Students,2025,Durgapur,6.9,5,0-2 Lakh,0-2 ,2,9,no
marilyn,marilyn@xyz.com,1,Product Marketing,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,Whatsapp,,Students,2025,Hugli,8.9,3,0-2 Lakh,0-2 ,2,8,no
hector,hector@xyz.com,1,Product Marketing,Attending,government polytechnic gandhiUnknowngar,Others,Others,,Students,2023,Kolkata,8.3,7,0-2 Lakh,0-2 ,2,7,no
floyd,floyd@xyz.com,1,Product Marketing,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Others,Others,,Students,2024,Malda,7.2,7,0-2 Lakh,0-2 ,2,21,no
ann,ann@xyz.com,1,Product Marketing,Attending,"vishwakarma institute of technology, pune",Others,Others,,Students,2023,Palashi,8.1,3,0-2 Lakh,0-2 ,2,5,no
jennifer,jennifer@xyz.com,1,Product Marketing,Attending,"kle society's college of bca, rls institute, belagavi",Cloud Counselage Website | Others,Cloud Counselage Website ,,Students,2024,Santipur,9.5,5,0-2 Lakh,0-2 ,2,16,yes
virginia,virginia@xyz.com,1,Product Marketing,Attending,"priyadarshini college of engineering, Unknowngpur ",Email,Email,,Students,2026,Siliguri,9.6,7,0-2 Lakh,0-2 ,2,21,yes
tracey,tracey@xyz.com,1,Product Marketing,Attending,st.francis institute of technology,Cloud Counselage Website,Cloud Counselage Website,,Students,2023,Silguri,7.5,3,0-2 Lakh,0-2 ,2,8,no 
william,william@xyz.com,1,Product Marketing,Attending,new horizon institute of technology and maUnknowngement ,Cloud Counselage Website,Cloud Counselage Website,,Students,2025,Siuri,7.9,5,0-2 Lakh,0-2 ,2,7,no 
sarah,sarah@xyz.com,1,Product Marketing,Attending,"symbiosis institute of technology, pune",SPOC/ College Professor,SPOC/ College Professor,,Students,2024,Talmuk,9.6,4,0-2 Lakh,0-2 ,2,9,yes
aida,aida@xyz.com,1,Product Marketing,Attending,"mit academy of engineering ,alandi",Whatsapp | Email,Whatsapp ,,Students,2024,Siuri,9.1,7,0-2 Lakh,0-2 ,2,30,no
douglas,douglas@xyz.com,1,Product Marketing,Attending,a. c. patil college of engineering,Whatsapp | SPOC/ College Professor,Whatsapp ,,Students,2023,Titagrah,7.3,5,0-2 Lakh,0-2 ,2,24,no
lisa,lisa@xyz.com,1,Product Marketing,Attending,wilson college ,Cloud Counselage Website,Cloud Counselage Website,,Students,2023,Orchha,7.5,4,0-2 Lakh,0-2 ,2,17,no
marcie,marcie@xyz.com,1,Product Marketing,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Whatsapp,,Students,2025,Sagar,7.6,3,0-2 Lakh,0-2 ,2,11,yes
mack,mack@xyz.com,1,Product Marketing,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,Whatsapp,,Students,2026,Satna,8,5,0-2 Lakh,0-2 ,2,21,no
willie,willie@xyz.com,1,Product Marketing,Attending,"priyadarshini college of engineering, Unknowngpur ",Instagram,Instagram,,Students,2025,Ujjain,7.2,3,0-2 Lakh,0-2 ,2,8,no
jeremiah,jeremiah@xyz.com,1,Product Marketing,Attending,"vidyalankar institute of technology, mumbai",Whatsapp | Friend/ Classmate,Whatsapp ,,Students,2024,Vidisha,9.1,7,0-2 Lakh,0-2 ,2,30,no
gene,gene@xyz.com,1,Product Marketing,Attending,adhiyamaan college of engineering,Whatsapp,Whatsapp,,Students,2023,Bhandara,7.1,3,0-2 Lakh,0-2 ,2,25,yes
heather,heather@xyz.com,1,Product Marketing,Attending,don bosco college of engineering fatorda goa,Whatsapp | Friend/ Classmate | SPOC/ College Professor,Whatsapp ,,Students,2025,Bhsawal,9.5,7,0-2 Lakh,0-2 ,2,21,yes
david,david@xyz.com,1,Product Marketing,Attending,pillai college of engineering new panvel,Friend/ Classmate | SPOC/ College Professor,Friend/ Classmate ,,Students,2024,Bid,9.2,5,0-2 Lakh,0-2 ,2,30,no 
brian,brian@xyz.com,1,Product Marketing,Attending,"priyadarshini college of engineering, Unknowngpur ",Whatsapp,Whatsapp,,Students,2023,Kalyan,7.8,5,0-2 Lakh,0-2 ,2,21,no
chris,chris@xyz.com,1,Product Marketing,Attending,"vidyalankar institute of technology, mumbai",Whatsapp | SPOC/ College Professor,Whatsapp ,,Students,2023,Thane,9.1,5,0-2 Lakh,0-2 ,2,17,no
ruth,ruth@xyz.com,1,Product Marketing,Attending,chhattisgarh swami vivekaUnknownnda technical university teaching department bhilai,Whatsapp,Whatsapp,,Students,2024,Navi Mumbai,6.9,4,0-2 Lakh,0-2 ,2,18,no
roxanna,roxanna@xyz.com,1,Product Marketing,Attending,don bosco college of engineering fatorda goa,Whatsapp,Whatsapp,,Students,2023,Nanded,9.2,7,0-2 Lakh,0-2 ,2,30,no
gregory,gregory@xyz.com,1,Product Marketing,Attending,pillai college of engineering new panvel,Whatsapp,Whatsapp,,Students,2024,Mahe,7.3,7,0-2 Lakh,0-2 ,2,8,no
patrick,patrick@xyz.com,1,Product Marketing,Attending,st xavier's college ,Whatsapp,Whatsapp,,Students,2023,Amritsar,7.9,7,0-2 Lakh,0-2 ,2,8,no
raymond,raymond@xyz.com,1,Product Marketing,Attending,wilson college ,Whatsapp,Whatsapp,,Students,2023,Ajmer,9.3,7,0-2 Lakh,0-2 ,2,21,yes
tom,tom@xyz.com,1,Product Marketing,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp | SPOC/ College Professor,Whatsapp ,,Students,2025,Amer,6.4,3,0-2 Lakh,0-2 ,2,17,no 
stephanie,stephanie@xyz.com,1,Product Marketing,Attending,dkte society's textile and engineering institute ichalkaranji,SPOC/ College Professor,SPOC/ College Professor,,Students,2025,Barmer,8.4,7,0-2 Lakh,0-2 ,2,13,no 
charmaine,charmaine@xyz.com,1,Product Marketing,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Whatsapp,,Students,2024,Bikaner,6.6,3,0-2 Lakh,0-2 ,2,11,yes
augustine,augustine@xyz.com,1,Product Marketing,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,Whatsapp,,Students,2024,Jaipur,7.8,7,0-2 Lakh,0-2 ,2,15,yes
mac,mac@xyz.com,1,Product Marketing,Attending,government polytechnic gandhiUnknowngar,Whatsapp,Whatsapp,,Students,2023,Jalor,8.7,5,0-2 Lakh,0-2 ,2,19,no
flossie,flossie@xyz.com,1,Product Marketing,Attending,"vishwakarma institute of technology, pune",Whatsapp,Whatsapp,,Students,2026,Jodhpur,7.1,4,0-2 Lakh,0-2 ,2,12,no
jean,jean@xyz.com,1,Product Marketing,Attending,st.francis institute of technology,Whatsapp,Whatsapp,,Students,2023,Sikar,8.5,4,0-2 Lakh,0-2 ,2,9,no
lori,lori@xyz.com,1,Product Marketing,Attending,late g. n. sapkal college of engineering,Whatsapp,Whatsapp,,Students,2023,Amreli,9.7,7,0-2 Lakh,0-2 ,2,25,no
jesus,jesus@xyz.com,1,Product Marketing,Attending,a. c. patil college of engineering,Cloud Counselage Website,Cloud Counselage Website,,Students,2023,Navsari,9.1,4,0-2 Lakh,0-2 ,2,17,no
rebekah,rebekah@xyz.com,1,Product Marketing,Attending,lokmanya tilak college of engineering koparkhairane Unknownvi mumbai,Whatsapp,Whatsapp,,Students,2026,Ambala,8.3,5,0-2 Lakh,0-2 ,2,10,no
jessica,jessica@xyz.com,1,Product Marketing,Attending,"priyadarshini college of engineering, Unknowngpur ",Cloud Counselage Website,Cloud Counselage Website,,Students,2023,Chandigarh,9.2,4,0-2 Lakh,0-2 ,2,10,no
pamula,pamula@xyz.com,1,Product Marketing,Attending,"vidyalankar institute of technology, mumbai",LinkedIn | Email | Cloud Counselage Website | Telegram,LinkedIn ,,Students,2024,Faridabad,9.9,4,0-2 Lakh,0-2 ,2,10,no
dorothy,dorothy@xyz.com,1,Product Marketing,Attending,chhattisgarh swami vivekaUnknownnda technical university teaching department bhilai,Whatsapp,Whatsapp,,Students,2023,Kunrool,9.3,3,0-2 Lakh,0-2 ,2,15,no
trevor,trevor@xyz.com,1,Product Marketing,Attending,silicon institute of technology,SPOC/ College Professor,SPOC/ College Professor,,Students,2024,Tirupati,7.1,7,0-2 Lakh,0-2 ,2,12,yes
mickey,mickey@xyz.com,1,Product Marketing,Attending,don bosco college of engineering fatorda goa,Instagram,Instagram,,Students,2023,Eluru,7.3,7,0-2 Lakh,0-2 ,2,21,no 
berniece,berniece@xyz.com,1,Product Marketing,Attending,st xavier's college ,Whatsapp,Whatsapp,,Students,2026,Nagaon,8.3,5,0-2 Lakh,0-2 ,2,9,yes
scott,scott@xyz.com,1,Product Marketing,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,Whatsapp,,Students,2023,Tezpur,7.4,3,0-2 Lakh,0-2 ,2,8,yes
arturo,arturo@xyz.com,1,Product Marketing,Attending,wilson college ,Cloud Counselage Website,Cloud Counselage Website,,Students,2023,Burani,7.3,3,0-2 Lakh,0-2 ,2,21,no
ashley,ashley@xyz.com,1,Product Marketing,Attending,"ld college of engineering, ahmedabad, gujarat ",Email,Email,,Students,2024,Dehri,9.7,3,0-2 Lakh,0-2 ,2,5,no
jacob,jacob@xyz.com,1,Product Marketing,Attending,"ld college of engineering, ahmedabad, gujarat ",Email,Email,,Students,2025,Bhandara,7.2,7,0-2 Lakh,0-2 ,2,21,no
sherry,sherry@xyz.com,1,Product Marketing,Attending,g h raisoni institut of engineering and technology pune,Email,Email,,Students,2026,Bhsawal,7.1,5,0-2 Lakh,0-2 ,2,8,no
frances,frances@xyz.com,1,Product Marketing,Attending,government polytechnic gandhiUnknowngar,Email,Email,,Students,2024,Bid,8.7,4,0-2 Lakh,0-2 ,2,7,no
gerald,gerald@xyz.com,1,Product Marketing,Attending,"kle society's college of bca, rls institute, belagavi",Email,Email,,Students,2023,Jalgaon,6.8,3,0-2 Lakh,0-2 ,2,13,yes
christy,christy@xyz.com,1,Product Marketing,Attending,st.francis institute of technology,Email,Email,,Students,2025,Thane,8.5,3,0-2 Lakh,0-2 ,2,17,no 
kelly,kelly@xyz.com,1,Product Marketing,Attending,"symbiosis institute of technology, pune",Cloud Counselage Website,Cloud Counselage Website,,Students,2026,Nagpur,6.7,4,0-2 Lakh,0-2 ,2,8,yes
katherine,katherine@xyz.com,1,Product Marketing,Attending,"mit academy of engineering ,alandi",Whatsapp | Friend/ Classmate,Whatsapp ,,Students,2024,Nanded,6.7,3,0-2 Lakh,0-2 ,2,9,no
jeanne,jeanne@xyz.com,1,Product Marketing,Attending,a. c. patil college of engineering,Whatsapp,Whatsapp,,Students,2023,Mahe,8.2,7,0-2 Lakh,0-2 ,2,8,no
keri,keri@xyz.com,1,Product Marketing,Attending,"ld college of engineering, ahmedabad, gujarat ",Others,Others,Team entity,Students,2024,Patiala,8.7,4,0-2 Lakh,0-2 ,2,25,yes
katrina,katrina@xyz.com,1,Product Marketing,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,Whatsapp,,Students,2023,Sangrur,9.1,7,0-2 Lakh,0-2 ,2,21,no
debra,debra@xyz.com,1,Product Marketing,Attending,"mit academy of engineering ,alandi",Whatsapp,Whatsapp,,Students,2025,Ajmer,8.9,3,0-2 Lakh,0-2 ,2,30,no
kathleen,kathleen@xyz.com,1,Product Marketing,Attending,a. c. patil college of engineering,Whatsapp,Whatsapp,,Students,2026,Amer,7.4,5,0-2 Lakh,0-2 ,2,24,no
terry,terry@xyz.com,1,Product Marketing,Attending,wilson college ,Whatsapp | Friend/ Classmate,Whatsapp ,,Students,2024,Barmer,7.3,5,0-2 Lakh,0-2 ,2,8,no
jason,jason@xyz.com,1,Product Marketing,Attending,dkte society's textile and engineering institute ichalkaranji,Youtube,Youtube,,Students,2023,Jaipur,9.2,4,0-2 Lakh,0-2 ,2,21,yes
hobert,hobert@xyz.com,1,Product Marketing,Attending,"thakur institute of maUnknowngement studies, career development & research - [timscdr]",Email,Email,,Students,2024,Jalor,7.8,7,0-2 Lakh,0-2 ,2,17,yes
cody,cody@xyz.com,1,Product Marketing,Attending,lokmanya tilak college of engineering koparkhairane Unknownvi mumbai,Whatsapp,Whatsapp,,Students,2025,Jhalwar,7.9,7,0-2 Lakh,0-2 ,2,18,no 
edna,edna@xyz.com,1,Product Marketing,Attending,"vidyalankar institute of technology, mumbai",Email,Email,,Students,2023,Kota,8.1,5,0-2 Lakh,0-2 ,2,8,yes
joshua,joshua@xyz.com,1,Product Marketing,Attending,pillai college of engineering new panvel,Email,Email,,Students,2025,Dwarka,6.2,5,0-2 Lakh,0-2 ,2,7,yes
amber,amber@xyz.com,1,Product Marketing,Attending,"vidyalankar institute of technology, mumbai",SPOC/ College Professor,SPOC/ College Professor,,Students,2023,Jamnagar,7.2,5,0-2 Lakh,0-2 ,2,8,no
cheryl,cheryl@xyz.com,1,Product Marketing,Attending,chhattisgarh swami vivekaUnknownnda technical university teaching department bhilai,Instagram,Instagram,,Students,2024,Morbi,8.4,7,0-2 Lakh,0-2 ,2,6,no
kathy,kathy@xyz.com,1,IAC - Q&A,Attending,adhiyamaan college of engineering,Unknown,Unknown,,Students,2023,Navsari,6.6,7,2-5 Lakh,02-May,5,7,yes
marina,marina@xyz.com,1,IAC - Q&A,Attending,"vidyalankar institute of technology, mumbai",Unknown,Unknown,,Students,2024,Valsad,6.3,4,0-2 Lakh,0-2 ,2,8,yes
eugene,eugene@xyz.com,1,IAC - Q&A,Attending,government polytechnic gandhiUnknowngar,Unknown,Unknown,,Students,2023,Ambala,8.9,3,0-2 Lakh,0-2 ,2,11,no
sharon,sharon@xyz.com,1,IAC - Q&A,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Unknown,Unknown,,Students,2023,Chandigarh,9.5,7,0-2 Lakh,0-2 ,2,20,no
micheal,micheal@xyz.com,1,IAC - Q&A,Attending,st.francis institute of technology,Unknown,Unknown,,Students,2024,Vijaywada,7.9,3,0-2 Lakh,0-2 ,2,5,no
clay,clay@xyz.com,1,IAC - Q&A,Attending,late g. n. sapkal college of engineering,Unknown,Unknown,,Students,2023,Guwahati,8.3,7,0-2 Lakh,0-2 ,2,9,no
wayne,wayne@xyz.com,1,IAC - Q&A,Attending,"symbiosis institute of technology, pune",Unknown,Unknown,,Principal,2026,Nagaon,6.4,7,0-2 Lakh,0-2 ,2,13,no
kathryn,kathryn@xyz.com,1,IAC - Q&A,Attending,"mit academy of engineering ,alandi",Unknown,Unknown,,Students,2025,Tezpur,7.5,5,0-2 Lakh,0-2 ,2,15,yes
della,della@xyz.com,1,IAC - Q&A,Attending,a. c. patil college of engineering,Unknown,Unknown,,Principal,2024,Sivasagar,7.7,4,0-2 Lakh,0-2 ,2,14,yes
christian,christian@xyz.com,1,IAC - Q&A,Attending,"ld college of engineering, ahmedabad, gujarat ",Unknown,Unknown,,Asst. Professor,2023,Dehri,7.6,5,0-2 Lakh,0-2 ,2,5,no 
doris,doris@xyz.com,1,IAC - Q&A,Attending,lokmanya tilak college of engineering koparkhairane Unknownvi mumbai,Unknown,Unknown,,Students,2024,Bhsawal,7.4,4,0-2 Lakh,0-2 ,2,14,no
luis,luis@xyz.com,1,IAC - Q&A,Attending,"priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Students,2026,Bid,9.2,4,0-2 Lakh,0-2 ,2,16,no
lana,lana@xyz.com,1,IAC - Q&A,Attending,"vidyalankar institute of technology, mumbai",Unknown,Unknown,,Principal,2023,Buldhana,7.6,7,0-2 Lakh,0-2 ,2,9,no
josh,josh@xyz.com,1,IAC - Q&A,Attending,chhattisgarh swami vivekaUnknownnda technical university teaching department bhilai,Unknown,Unknown,,Students,2025,Dhule,8.7,7,0-2 Lakh,0-2 ,2,8,yes
kent,kent@xyz.com,1,IAC - Q&A,Attending,silicon institute of technology,Unknown,Unknown,,Principal,2024,Jalgaon,9.5,5,0-2 Lakh,0-2 ,2,9,no
leo,leo@xyz.com,1,IAC - Q&A,Attending,adhiyamaan college of engineering,Unknown,Unknown,,Asst. Professor,2023,Kalyan,6.9,7,0-2 Lakh,0-2 ,2,7,no
melissa,melissa@xyz.com,1,IAC - Q&A,Attending,don bosco college of engineering fatorda goa,Unknown,Unknown,,Students,2024,Thane,9.2,4,0-2 Lakh,0-2 ,2,8,no
earline,earline@xyz.com,1,IAC - Q&A,Attending,pillai college of engineering new panvel,Unknown,Unknown,,Students,2025,Navi Mumbai,6.9,5,0-2 Lakh,0-2 ,2,6,no
cordelia,cordelia@xyz.com,1,IAC - Q&A,Attending,st xavier's college ,Unknown,Unknown,,Students,2025,Mumbai,7.2,4,0-2 Lakh,0-2 ,2,8,no
francisco,francisco@xyz.com,1,IAC - Q&A,Attending,"s.i.e.s. graduate school of technology, nerul, Unknownvi mumbai",Unknown,Unknown,,Students,2024,Nanded,6.5,4,0-2 Lakh,0-2 ,2,5,yes
garry,garry@xyz.com,1,IAC - Q&A,Attending,"vishwakarma institute of technology, pune",Unknown,Unknown,,Students,2023,Sangrur,6.5,5,0-2 Lakh,0-2 ,2,7,yes
neal,neal@xyz.com,1,IAC - Q&A,Attending,"kle society's college of bca, rls institute, belagavi",Unknown,Unknown,,HoD,2025,Ajmer,7.3,3,7 Lakh+,7,7,5,no
brett,brett@xyz.com,1,IAC - Q&A,Attending,g h raisoni institut of engineering and technology pune,Unknown,Unknown,,Professor,2025,Amer,6.7,7,0-2 Lakh,0-2 ,2,8,no
jesse,jesse@xyz.com,1,IAC - Q&A,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Unknown,Unknown,,Students,2024,Bikaner,6.7,3,0-2 Lakh,0-2 ,2,18,yes
marc,marc@xyz.com,1,IAC - Q&A,Attending,"vishwakarma institute of technology, pune",Unknown,Unknown,,Asst. Professor,2023,Jaipur,9,4,0-2 Lakh,0-2 ,2,23,no
jeffery,jeffery@xyz.com,1,IAC - Q&A,Attending,"kle society's college of bca, rls institute, belagavi",Unknown,Unknown,,Professor,2023,Jalor,7.2,3,0-2 Lakh,0-2 ,2,5,no
carolyn,carolyn@xyz.com,1,IAC - Q&A,Attending,st.francis institute of technology,Unknown,Unknown,,Students,2025,Jodhpur,6.5,7,0-2 Lakh,0-2 ,2,9,no
paulette,paulette@xyz.com,1,IAC - Q&A,Attending,new horizon institute of technology and maUnknowngement ,Unknown,Unknown,,Asst. Professor,2025,Kota,6.6,7,0-2 Lakh,0-2 ,2,9,no
elvin,elvin@xyz.com,1,IAC - Q&A,Attending,late g. n. sapkal college of engineering,Unknown,Unknown,,Students,2023,Pali,9.5,5,0-2 Lakh,0-2 ,2,17,yes
shirley,shirley@xyz.com,1,IAC - Q&A,Attending,"symbiosis institute of technology, pune",Unknown,Unknown,,Principal,2024,Sikar,8.1,5,0-2 Lakh,0-2 ,2,13,yes
thelma,thelma@xyz.com,1,IAC - Q&A,Attending,"mit academy of engineering ,alandi",Unknown,Unknown,,Students,2024,Ahemdabad,9.7,4,2-5 Lakh,02-May,5,11,no 
jackie,jackie@xyz.com,1,IAC - Q&A,Attending,a. c. patil college of engineering,Unknown,Unknown,,Principal,2023,Amreli,9.3,4,0-2 Lakh,0-2 ,2,15,no 
pedro,pedro@xyz.com,1,IAC - Q&A,Attending,wilson college ,Unknown,Unknown,,Asst. Professor,2026,Dwarka,9.1,7,0-2 Lakh,0-2 ,2,19,yes
paula,paula@xyz.com,1,IAC - Q&A,Attending,"ld college of engineering, ahmedabad, gujarat ",Unknown,Unknown,,Students,2023,Godhra,7.6,4,0-2 Lakh,0-2 ,2,18,yes
sergio,sergio@xyz.com,1,IAC - Q&A,Attending,dkte society's textile and engineering institute ichalkaranji,Unknown,Unknown,,Students,2025,Amravati,7.8,7,0-2 Lakh,0-2 ,2,12,no
glenn,glenn@xyz.com,1,IAC - Q&A,Attending,"ld college of engineering, ahmedabad, gujarat ",Unknown,Unknown,,Students,2025,Kunrool,7.9,4,0-2 Lakh,0-2 ,2,23,no
lillie,lillie@xyz.com,1,IAC - Q&A,Attending,"vishwakarma institute of technology, pune",Unknown,Unknown,,Asst. Professor,2023,Guwahati,9.4,5,0-2 Lakh,0-2 ,2,13,no
sandra,sandra@xyz.com,1,IAC - Q&A,Attending,new horizon institute of technology and maUnknowngement ,Unknown,Unknown,,HoD,2025,Burani,7.7,7,0-2 Lakh,0-2 ,2,6,yes
chasity,chasity@xyz.com,1,IAC - Q&A,Attending,late g. n. sapkal college of engineering,Unknown,Unknown,,Asst. Professor,2024,Dehri,7.5,5,0-2 Lakh,0-2 ,2,9,yes
alicia,alicia@xyz.com,1,IAC - Q&A,Attending,a. c. patil college of engineering,Unknown,Unknown,,Students,2025,Gaya,7.3,4,0-2 Lakh,0-2 ,2,17,yes
mamie,mamie@xyz.com,1,IAC - Q&A,Attending,wilson college ,Unknown,Unknown,,Students,2024,Haijipur,7.3,7,0-2 Lakh,0-2 ,2,19,yes
steven,steven@xyz.com,1,IAC - Q&A,Attending,"ld college of engineering, ahmedabad, gujarat ",Unknown,Unknown,,Students,2026,Jamalpur,9.4,7,0-2 Lakh,0-2 ,2,21,no
bridget,bridget@xyz.com,1,IAC - Q&A,Attending,dkte society's textile and engineering institute ichalkaranji,Unknown,Unknown,,Students,2025,Kaithar,6.6,5,0-2 Lakh,0-2 ,2,18,no
dominique,dominique@xyz.com,1,IAC - Q&A,Attending,"vidyalankar institute of technology, mumbai",Unknown,Unknown,,Students,2024,Munger,8.5,7,0-2 Lakh,0-2 ,2,21,yes
gloria,gloria@xyz.com,1,IAC - Q&A,Attending,chhattisgarh swami vivekaUnknownnda technical university teaching department bhilai,Unknown,Unknown,,Students,2023,Patna,7.7,3,0-2 Lakh,0-2 ,2,23,no
lyle,lyle@xyz.com,1,IAC - Q&A,Attending,adhiyamaan college of engineering,Unknown,Unknown,,Students,2025,Sasaram,7.9,7,0-2 Lakh,0-2 ,2,15,no
ina,ina@xyz.com,1,IAC - Q&A,Attending,don bosco college of engineering fatorda goa,Unknown,Unknown,,Students,2023,Siwan,7.1,7,0-2 Lakh,0-2 ,2,12,no
keith,keith@xyz.com,1,IAC - Q&A,Attending,pillai college of engineering new panvel,Unknown,Unknown,,Students,2025,Chandigarh,8.3,5,0-2 Lakh,0-2 ,2,20,no
sean,sean@xyz.com,1,IAC - Q&A,Attending,st xavier's college ,Unknown,Unknown,,HoD,2026,Ambikapur,7.7,3,0-2 Lakh,0-2 ,2,21,yes
deborah,deborah@xyz.com,1,IAC - Q&A,Attending,government polytechnic gandhiUnknowngar,Unknown,Unknown,,Students,2024,Durg,6.5,5,0-2 Lakh,0-2 ,2,9,no 
joanna,joanna@xyz.com,1,IAC - Q&A,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Unknown,Unknown,,HoD,2023,Raipur,9.4,3,0-2 Lakh,0-2 ,2,8,no 
janette,janette@xyz.com,1,IAC - Q&A,Attending,st.francis institute of technology,Unknown,Unknown,,HoD,2024,Delhi,9.3,3,0-2 Lakh,0-2 ,2,16,no
doreen,doreen@xyz.com,1,IAC - Q&A,Attending,late g. n. sapkal college of engineering,Unknown,Unknown,,Students,2023,Panji,8.9,5,0-2 Lakh,0-2 ,2,8,yes
patricia,patricia@xyz.com,1,IAC - Q&A,Attending,a. c. patil college of engineering,Unknown,Unknown,,Students,2024,Amreli,8.1,4,0-2 Lakh,0-2 ,2,9,no
lillian,lillian@xyz.com,1,IAC - Q&A,Attending,wilson college ,Unknown,Unknown,,HoD,2025,Dwarka,9.5,3,0-2 Lakh,0-2 ,2,13,no
